,Symbol,Identifier,Company,ISIN
212,YESBANK,YESBANKEQN,Yes Bank Limited,INE528G01035
213,POLICYBZR,POLICYBZREQN,PB Fintech Limited,INE417T01026
214,SUZLON,SUZLONEQN,Suzlon Energy Limited,INE040H01021
215,GODREJPROP,GODREJPROPEQN,Godrej Properties Limited,INE484J01027
216,FACT,FACTEQN,Fertilizers and Chemicals Travancore Limited,INE188A01015
217,HINDPETRO,HINDPETROEQN,Hindustan Petroleum Corporation Limited,INE169701013
218,GLAND,GLANDEQN,Gland Pharma Limited,INE068V01023
219,MFSL,MFSLEQN,Max Financial Services Limited,INE180A01020
220,KPITTECH,KPITTECHEQN,KPIT Technologies Limited,INE04I401011
221,SUNTV,SUNTVEQN,Sun TV Network Limited,INE424H01027
222,HDFCAMC,HDFCAMCEQN,HDFC Asset Management Company Limited,INE127D01025
223,MRF,MRFEQN,MRF Limited,INE883A01011
224,UNIONBANK,UNIONBANKEQN,Union Bank of India,INE692A01016
225,NYKAA,NYKAAEQN,FSN E-Commerce Ventures Limited,INE388Y01029
226,COFORGE,COFORGEEQN,Coforge Limited,INE591G01017
227,LTTS,LTTSEQN,L&T Technology Services Limited,INE010V01017
228,BDL,BDLEQN,Bharat Dynamics Limited,INE171Z01026
229,BANKINDIA,BANKINDIAEQN,Bank of India,INE084A01016
230,CGPOWER,CGPOWEREQN,CG Power and Industrial Solutions Limited,INE067A01029
231,JUBLFOOD,JUBLFOODEQN,Jubilant Foodworks Limited,INE797F01020
232,LODHA,LODHAEQN,Macrotech Developers Limited,INE670K01029
233,PAGEIND,PAGEINDEQN,Page Industries Limited,INE761H01022
234,MAZDOCK,MAZDOCKEQN,Mazagon Dock Shipbuilders Limited,INE249Z01012
235,GUJGASLTD,GUJGASLTDEQN,Gujarat Gas Limited,INE844O01030
236,TATATECH,TATATECHEQN,Tata Technologies Limited,INE142M01025
237,IDFCFIRSTB,IDFCFIRSTBEQN,IDFC First Bank Limited,INE092T08CP8
238,OFSS,OFSSEQN,Oracle Financial Services Software Limited,INE881D01027
239,SYNGENE,SYNGENEEQN,Syngene International Limited,INE398R01022
240,JSWINFRA,JSWINFRAEQN,JSW Infrastructure Limited,INE880J01026
241,BSE,BSEEQN,BSE Limited,INE118H01025
242,KALYANKJIL,KALYANKJILEQN,Kalyan Jewellers India Limited,INE303R01014
243,DEEPAKNTR,DEEPAKNTREQN,Deepak Nitrite Limited,INE288B01029
244,SONACOMS,SONACOMSEQN,Sona BLW Precision Forgings Limited,INE073K01018
245,OIL,OILEQN,Oil India Limited,INE274J01014
246,PRESTIGE,PRESTIGEEQN,Prestige Estates Projects Limited,INE811K01011
247,FEDERALBNK,FEDERALBNKEQN,The Federal Bank  Limited,INE171A01029
248,RVNL,RVNLEQN,Rail Vikas Nigam Limited,INE415G01027
249,MANKIND,MANKINDEQN,Mankind Pharma Limited,INE634S01028
250,NIACL,NIACLEQN,The New India Assurance Company Limited,INE470Y01017
251,PAYTM,PAYTMEQN,One 97 Communications Limited,INE982J01020
252,GICRE,GICREEQN,General Insurance Corporation of India,INE481Y01014
253,SOLARINDS,SOLARINDSEQN,Solar Industries India Limited,INE343H01029
254,BHARATFORG,BHARATFORGEQN,Bharat Forge Limited,INE465A13020
255,MPHASIS,MPHASISEQN,MphasiS Limited,INE356A01018
256,ASHOKLEY,ASHOKLEYEQN,Ashok Leyland Limited,INE208A01029
257,PEL,PELEQN,Piramal Enterprises Limited,INE140A01024
258,IDEA,IDEAEQN,Vodafone Idea Limited,INE669E01016
259,PIIND,PIINDEQN,PI Industries Limited,INE603J01030
260,INDUSTOWER,INDUSTOWEREQN,Indus Towers Limited,INE121J01017
261,SJVN,SJVNEQN,SJVN Limited,INE002L01015
262,DELHIVERY,DELHIVERYEQN,Delhivery Limited,INE148O01028
