Symbol,Identifier,Company,ISIN,Sector,Processed_Company
UPL,UPLEQN,UPL Limited,INE628A03016,NIFTY MIDCAP 100,upl
SYNGENE,SYNGENEEQN,Syngene International Limited,INE398R01022,NIFTY MIDCAP 100,syngene international
PATANJALI,PATANJALIEQN,Patanjali Foods Limited,INE619A01035,NIFTY MIDCAP 100,patanjali foods
MAHABANK,MAHABANKEQN,Bank of Maharashtra,INE457A01014,NIFTY MIDCAP 100,bank of maharashtra
TATATECH,TATATECHEQN,Tata Technologies Limited,INE142M01025,NIFTY MIDCAP 100,tata technologies
DEEPAKNTR,DEEPAKNTREQN,Deepak Nitrite Limited,INE288B01029,NIFTY MIDCAP 100,deepak nitrite
SUNTV,SUNTVEQN,Sun TV Network Limited,INE424H01027,NIFTY MIDCAP 100,sun tv network
APLAPOLLO,APLAPOLLOEQN,APL Apollo Tubes Limited,INE702C01027,NIFTY MIDCAP 100,apl apollo tubes
SJVN,SJVNEQN,SJVN Limited,INE002L01015,NIFTY MIDCAP 100,sjvn
SONACOMS,SONACOMSEQN,Sona BLW Precision Forgings Limited,INE073K01018,NIFTY MIDCAP 100,sona blw precision forgings
PAYTM,PAYTMEQN,One 97 Communications Limited,INE982J01020,NIFTY MIDCAP 100,one 97 communications
GLAND,GLANDEQN,Gland Pharma Limited,INE068V01023,NIFTY MIDCAP 100,gland pharma
SUPREMEIND,SUPREMEINDEQN,Supreme Industries Limited,INE195A01028,NIFTY MIDCAP 100,supreme industries
LAURUSLABS,LAURUSLABSEQN,Laurus Labs Limited,INE947Q01028,NIFTY MIDCAP 100,laurus labs
MAZDOCK,MAZDOCKEQN,Mazagon Dock Shipbuilders Limited,INE249Z01012,NIFTY MIDCAP 100,mazagon dock shipbuilders
BDL,BDLEQN,Bharat Dynamics Limited,INE171Z01026,NIFTY MIDCAP 100,bharat dynamics
MANKIND,MANKINDEQN,Mankind Pharma Limited,INE634S01028,NIFTY MIDCAP 100,mankind pharma
BSE,BSEEQN,BSE Limited,INE118H01025,NIFTY MIDCAP 100,bse
BANKINDIA,BANKINDIAEQN,Bank of India,INE084A01016,NIFTY MIDCAP 100,bank of india
IGL,IGLEQN,Indraprastha Gas Limited,INE203G01027,NIFTY MIDCAP 100,indraprastha gas
LODHA,LODHAEQN,Macrotech Developers Limited,INE670K01029,NIFTY MIDCAP 100,macrotech developers
OIL,OILEQN,Oil India Limited,INE274J01014,NIFTY MIDCAP 100,oil india
ZEEL,ZEELEQN,Zee Entertainment Enterprises Limited,INE256A04022,NIFTY MIDCAP 100,zee entertainment enterprises
RVNL,RVNLEQN,Rail Vikas Nigam Limited,INE415G01027,NIFTY MIDCAP 100,rail vikas nigam
APOLLOTYRE,APOLLOTYREEQN,Apollo Tyres Limited,INE438A01022,NIFTY MIDCAP 100,apollo tyres
JSWINFRA,JSWINFRAEQN,JSW Infrastructure Limited,INE880J01026,NIFTY MIDCAP 100,jsw infrastructure
NYKAA,NYKAAEQN,FSN E-Commerce Ventures Limited,INE388Y01029,NIFTY MIDCAP 100,fsn ecommerce ventures
BIOCON,BIOCONEQN,Biocon Limited,INE376G01013,NIFTY MIDCAP 100,biocon
SUNDARMFIN,SUNDARMFINEQN,Sundaram Finance Limited,INE660A01013,NIFTY MIDCAP 150,sundaram finance
FLUOROCHEM,FLUOROCHEMEQN,Gujarat Fluorochemicals Limited,INE09N301011,NIFTY MIDCAP 150,gujarat fluorochemicals
THERMAX,THERMAXEQN,Thermax Limited,INE152A01029,NIFTY MIDCAP 150,thermax
NIACL,NIACLEQN,The New India Assurance Company Limited,INE470Y01017,NIFTY MIDCAP 150,the new india assurance
HINDZINC,HINDZINCEQN,Hindustan Zinc Limited,INE267A01025,NIFTY MIDCAP 150,hindustan zinc
JSL,JSLEQN,Jindal Stainless Limited,INE220G01021,NIFTY MIDCAP 150,jindal stainless
TIMKEN,TIMKENEQN,Timken India Limited,INE325A01013,NIFTY MIDCAP 150,timken india
GICRE,GICREEQN,General Insurance Corporation of India,INE481Y01014,NIFTY MIDCAP 150,corporation of india
LLOYDSME,LLOYDSMEEQN,Lloyds Metals And Energy Limited,INE281B01032,NIFTY MIDCAP 150,lloyds metals and energy
MUTHOOTFIN,MUTHOOTFINEQN,Muthoot Finance Limited,INE414G07241,NIFTY MIDCAP 150,muthoot finance
SUMICHEM,SUMICHEMEQN,Sumitomo Chemical India Limited,INE258G01013,NIFTY MIDCAP 150,sumitomo chemical india
ZFCVINDIA,ZFCVINDIAEQN,ZF Commercial Vehicle Control Systems India Limited,INE342J01019,NIFTY MIDCAP 150,zf commercial vehicle control systems india
ATUL,ATULEQN,Atul Limited,INE100A01010,NIFTY MIDCAP 150,atul
