,Symbol,Identifier,Company,ISIN,Sector
117,TIINDIA,TIINDIAEQN,Tube Investments of India Limited,INE974X01010,NIFTY MIDCAP 50
118,TATACOMM,TATACOMMEQN,Tata Communications Limited,INE151A01013,NIFTY MIDCAP 50
119,UPL,UPLEQN,UPL Limited,INE628A03016,NIFTY MIDCAP 50
120,CONCOR,CONCOREQN,Container Corporation of India Limited,INE111A01025,NIFTY MIDCAP 50
121,DALBHARAT,DALBHARATEQN,Dalmia Bharat Limited,INE00R701025,NIFTY MIDCAP 50
122,ALKEM,ALKEMEQN,Alkem Laboratories Limited,INE540L01014,NIFTY MIDCAP 50
123,LUPIN,LUPINEQN,Lupin Limited,INE326A01037,NIFTY MIDCAP 50
124,MAXHEALTH,MAXHEALTHEQN,Max Healthcare Institute Limited,INE027H01010,NIFTY MIDCAP 50
125,ASTRAL,ASTRALEQN,Astral Limited,INE006I01046,NIFTY MIDCAP 50
126,CUMMINSIND,CUMMINSINDEQN,Cummins India Limited,INE298A01020,NIFTY MIDCAP 50
127,PETRONET,PETRONETEQN,Petronet LNG Limited,INE347G01014,NIFTY MIDCAP 50
128,ESCORTS,ESCORTSEQN,Escorts Kubota Limited,INE042A01014,NIFTY MIDCAP 50
129,AUROPHARMA,AUROPHARMAEQN,Aurobindo Pharma Limited,INE406A01037,NIFTY MIDCAP 50
130,ACC,ACCEQN,ACC Limited,INE012A01025,NIFTY MIDCAP 50
131,POLYCAB,POLYCABEQN,Polycab India Limited,INE455K01017,NIFTY MIDCAP 50
132,BHEL,BHELEQN,Bharat Heavy Electricals Limited,INE257A01026,NIFTY MIDCAP 50
133,M&MFIN,M&MFINEQN,Mahindra & Mahindra Financial Services Limited,INE774D08MG3,NIFTY MIDCAP 50
134,PERSISTENT,PERSISTENTEQN,Persistent Systems Limited,INE262H01021,NIFTY MIDCAP 50
135,YESBANK,YESBANKEQN,Yes Bank Limited,INE528G01035,NIFTY MIDCAP 50
136,SUZLON,SUZLONEQN,Suzlon Energy Limited,INE040H01021,NIFTY MIDCAP 50
137,GODREJPROP,GODREJPROPEQN,Godrej Properties Limited,INE484J01027,NIFTY MIDCAP 50
138,HINDPETRO,HINDPETROEQN,Hindustan Petroleum Corporation Limited,INE169701013,NIFTY MIDCAP 50
139,MFSL,MFSLEQN,Max Financial Services Limited,INE180A01020,NIFTY MIDCAP 50
140,HDFCAMC,HDFCAMCEQN,HDFC Asset Management Company Limited,INE127D01025,NIFTY MIDCAP 50
141,MRF,MRFEQN,MRF Limited,INE883A01011,NIFTY MIDCAP 50
142,COFORGE,COFORGEEQN,Coforge Limited,INE591G01017,NIFTY MIDCAP 50
143,LTTS,LTTSEQN,L&T Technology Services Limited,INE010V01017,NIFTY MIDCAP 50
144,JUBLFOOD,JUBLFOODEQN,Jubilant Foodworks Limited,INE797F01020,NIFTY MIDCAP 50
145,PAGEIND,PAGEINDEQN,Page Industries Limited,INE761H01022,NIFTY MIDCAP 50
146,GUJGASLTD,GUJGASLTDEQN,Gujarat Gas Limited,INE844O01030,NIFTY MIDCAP 50
147,IDFCFIRSTB,IDFCFIRSTBEQN,IDFC First Bank Limited,INE092T08CP8,NIFTY MIDCAP 50
148,OFSS,OFSSEQN,Oracle Financial Services Software Limited,INE881D01027,NIFTY MIDCAP 50
149,FEDERALBNK,FEDERALBNKEQN,The Federal Bank  Limited,INE171A01029,NIFTY MIDCAP 50
150,PAYTM,PAYTMEQN,One 97 Communications Limited,INE982J01020,NIFTY MIDCAP 100
151,BHARATFORG,BHARATFORGEQN,Bharat Forge Limited,INE465A13020,NIFTY MIDCAP 100
152,MPHASIS,MPHASISEQN,MphasiS Limited,INE356A01018,NIFTY MIDCAP 100
153,ASHOKLEY,ASHOKLEYEQN,Ashok Leyland Limited,INE208A01029,NIFTY MIDCAP 100
154,PEL,PELEQN,Piramal Enterprises Limited,INE140A01024,NIFTY MIDCAP 100
155,IDEA,IDEAEQN,Vodafone Idea Limited,INE669E01016,NIFTY MIDCAP 100
156,PIIND,PIINDEQN,PI Industries Limited,INE603J01030,NIFTY MIDCAP 100
157,INDUSTOWER,INDUSTOWEREQN,Indus Towers Limited,INE121J01017,NIFTY MIDCAP 100
158,SJVN,SJVNEQN,SJVN Limited,INE002L01015,NIFTY MIDCAP 100
159,DELHIVERY,DELHIVERYEQN,Delhivery Limited,INE148O01028,NIFTY MIDCAP 100
160,LAURUSLABS,LAURUSLABSEQN,Laurus Labs Limited,INE947Q01028,NIFTY MIDCAP 100
161,LTF,LTFEQN,L&T Finance Limited,INE498L01015,NIFTY MIDCAP 100
162,BALKRISIND,BALKRISINDEQN,Balkrishna Industries Limited,INE787D01026,NIFTY MIDCAP 100
163,INDHOTEL,INDHOTELEQN,The Indian Hotels Company Limited,INE053A13016,NIFTY MIDCAP 100
